Imported from ls-asymmetric-typeE-9x11L130-sample00.h5 hdf Network
  2730.222137 3315.944035 2971.445557 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  154 total number of segments
name	type	from	to	diam		flow		HD
150 1195.000000 1487.860962 1474.578217
151 1195.000000 1262.694366 1474.578217
152 1715.000000 1637.971985 1899.156433
153 1195.000000 1938.194092 2111.445557
154 1065.000000 1487.860962 2111.445557
155 1585.000000 1788.083130 1368.433655
156 1650.000000 2200.888550 1899.156433
157 1455.000000 2088.305176 1899.156433
158 1130.000000 1600.444275 1793.011902
159 1650.000000 1600.444275 1793.011902
160 1975.000000 1187.638824 1262.289108
161 870.000000 1975.721924 1262.289108
162 1260.000000 1825.610840 2111.445557
163 2170.000000 1675.499817 1050.000000
164 1975.000000 1037.527767 1474.578217
165 2105.000000 1562.916504 1686.867310
166 1000.000000 2275.943970 1793.011902
167 1715.000000 1938.194092 1474.578217
168 1910.000000 2050.777466 1474.578217
169 1260.000000 2275.943970 1474.578217
170 1390.000000 2275.943970 1474.578217
171 1130.000000 1750.555298 1580.722778
172 1000.000000 1825.610840 1474.578217
173 1260.000000 1825.610840 1474.578217
174 1910.000000 1300.222137 1899.156433
175 2105.000000 1187.638824 1899.156433
176 870.000000 2275.943970 1156.144554
177 1455.000000 1863.138611 1262.289108
178 1390.000000 2050.777466 1156.144554
179 2040.000000 1600.444275 1156.144554
180 1715.000000 2088.305176 1899.156433
181 1000.000000 1675.499817 1050.000000
182 1780.000000 2125.833008 2005.301025
183 2235.000000 2163.360718 1793.011902
184 1585.000000 1938.194092 2111.445557
185 2170.000000 2125.833008 2005.301025
186 1780.000000 1900.666443 2005.301025
187 2105.000000 1412.805420 1580.722778
188 2040.000000 1450.333221 1368.433655
189 1260.000000 1900.666443 1050.000000
190 1325.000000 2238.416382 1050.000000
191 1455.000000 2238.416382 1050.000000
192 935.000000 2163.360718 1156.144554
193 1780.000000 1825.610840 2111.445557
194 1845.000000 1112.583305 1368.433655
195 1715.000000 1788.083130 2005.301025
196 870.000000 1750.555298 1262.289108
197 2170.000000 1375.277649 1474.578217
198 1715.000000 1938.194092 2111.445557
199 1130.000000 2050.777466 1156.144554
200 2105.000000 2238.416382 2005.301025
201 1520.000000 2125.833008 1050.000000
202 1065.000000 1938.194092 1156.144554
203 1065.000000 2313.471802 1580.722778
204 1065.000000 2163.360718 1156.144554
205 1260.000000 2200.888550 1580.722778
206 2040.000000 1675.499817 1050.000000
207 2040.000000 1225.166611 1368.433655
208 1650.000000 2125.833008 1686.867310
209 1650.000000 2125.833008 2005.301025
210 805.000000 2013.249695 1368.433655
211 1585.000000 1938.194092 1156.144554
212 1715.000000 1938.194092 1793.011902
213 2170.000000 2050.777466 2111.445557
214 935.000000 1713.027588 1474.578217
215 870.000000 1675.499817 1368.433655
216 1845.000000 1637.971985 1899.156433
217 1000.000000 2200.888550 1580.722778
218 1975.000000 1938.194092 2111.445557
219 1455.000000 1863.138611 1899.156433
220 2170.000000 2200.888550 1262.289108
221 1780.000000 1975.721924 1899.156433
222 935.000000 1938.194092 1156.144554
223 2105.000000 1112.583305 1050.000000
224 1455.000000 1863.138611 1580.722778
225 805.000000 2088.305176 1580.722778
226 2105.000000 1487.860962 1156.144554
227 2235.000000 1487.860962 1474.578217
228 2170.000000 1375.277649 1156.144554
229 1520.000000 1825.610840 1793.011902
230 2170.000000 1225.166611 1050.000000
231 1130.000000 1900.666443 1050.000000
232 1195.000000 2013.249695 1686.867310
233 935.000000 2238.416382 1368.433655
234 935.000000 1938.194092 2111.445557
235 2170.000000 1525.388733 1262.289108
236 1910.000000 1900.666443 2005.301025
237 1520.000000 2275.943970 1474.578217
238 1325.000000 2313.471802 1262.289108
239 1000.000000 2275.943970 1156.144554
240 2040.000000 1075.055534 1899.156433
241 805.000000 1863.138611 1262.289108
242 1585.000000 1412.805420 1899.156433
243 1910.000000 1750.555298 1899.156433
244 1910.000000 2125.833008 2005.301025
245 1000.000000 2050.777466 1156.144554
246 1000.000000 2200.888550 1899.156433
247 1520.000000 2200.888550 1580.722778
248 1325.000000 2163.360718 1474.578217
249 2170.000000 1525.388733 1580.722778
250 1455.000000 2013.249695 1368.433655
251 1195.000000 2238.416382 2005.301025
252 2170.000000 1900.666443 1050.000000
253 2105.000000 2013.249695 2005.301025
254 2105.000000 1562.916504 1050.000000
255 2170.000000 1300.222137 1580.722778
256 1130.000000 1975.721924 1262.289108
257 2105.000000 1487.860962 1474.578217
258 2170.000000 1075.055534 1262.289108
259 1000.000000 2200.888550 1262.289108
260 2105.000000 1562.916504 2005.301025
261 1975.000000 2013.249695 2005.301025
262 1520.000000 1600.444275 1793.011902
263 1390.000000 2200.888550 1262.289108
264 1130.000000 2050.777466 2111.445557
265 1585.000000 1788.083130 2005.301025
266 1195.000000 2163.360718 2111.445557
267 2105.000000 1788.083130 1050.000000
268 935.000000 2313.471802 1580.722778
269 1130.000000 2200.888550 1262.289108
270 1650.000000 1225.166611 2005.301025
271 1975.000000 1262.694366 1474.578217
272 1260.000000 2275.943970 1156.144554
273 1325.000000 1863.138611 1262.289108
274 1260.000000 1825.610840 1156.144554
275 870.000000 2050.777466 1474.578217
276 1455.000000 2163.360718 1156.144554
277 2105.000000 1262.694366 1474.578217
278 2235.000000 1262.694366 1156.144554
279 870.000000 2125.833008 1686.867310
280 1585.000000 1637.971985 1899.156433
281 1325.000000 2163.360718 1156.144554
282 1910.000000 1675.499817 1050.000000
283 2170.000000 1225.166611 1368.433655
284 1065.000000 2013.249695 1368.433655
285 2170.000000 1150.111069 1156.144554
286 1585.000000 2013.249695 1050.000000
287 2170.000000 2200.888550 1899.156433
288 1650.000000 2200.888550 1580.722778
289 1000.000000 2275.943970 1474.578217
290 1715.000000 1187.638824 1899.156433
291 2105.000000 2013.249695 1368.433655
292 2040.000000 1900.666443 1368.433655
293 2170.000000 2125.833008 1368.433655
294 1585.000000 1337.749908 2005.301025
295 1585.000000 2088.305176 1899.156433
296 2170.000000 2050.777466 1156.144554
297 935.000000 2088.305176 1262.289108
298 2105.000000 2088.305176 1262.289108
299 2105.000000 2238.416382 1368.433655
300 1000.000000 2125.833008 2005.301025
301 1065.000000 2013.249695 1050.000000
302 2235.000000 1487.860962 1793.011902
303 1065.000000 2313.471802 1262.289108
304 1195.000000 2163.360718 1156.144554
305 1195.000000 2088.305176 1580.722778
306 2040.000000 1225.166611 1050.000000
307 1910.000000 1375.277649 1474.578217
308 2040.000000 1375.277649 1474.578217
309 1325.000000 2013.249695 1050.000000
310 2170.000000 1825.610840 1156.144554
311 1195.000000 2313.471802 1899.156433
312 1325.000000 2013.249695 1368.433655
313 2040.000000 1300.222137 1262.289108
314 1585.000000 2238.416382 1368.433655
315 1975.000000 1788.083130 1368.433655
316 2040.000000 1675.499817 1368.433655
317 935.000000 1788.083130 1050.000000
318 1065.000000 2238.416382 2005.301025
319 870.000000 2275.943970 1793.011902
320 935.000000 2238.416382 2005.301025
321 935.000000 2238.416382 1686.867310
322 805.000000 2088.305176 1899.156433
323 1130.000000 2200.888550 1899.156433
324 1520.000000 1675.499817 1686.867310
325 1000.000000 2050.777466 1474.578217
326 870.000000 2200.888550 1580.722778
