Imported from s-asymmetric-typeE-17x21L130-sample00.h5 hdf Network
  4590.444275 5744.471436 4942.891113 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  352 total number of segments
name	type	from	to	diam		flow		HD
28 1520.000000 2501.110596 2748.312866
29 805.000000 3214.138184 1262.289108
30 1000.000000 1600.444275 2748.312866
31 1000.000000 1900.666443 2323.734619
32 2040.000000 1600.444275 2748.312866
33 2300.000000 2350.999634 2323.734619
34 1780.000000 3401.777100 2111.445557
35 1000.000000 2200.888550 1899.156433
36 1520.000000 2801.332886 2323.734619
37 1260.000000 2050.777466 2748.312866
38 2040.000000 2801.332886 2323.734619
39 1520.000000 2501.110596 1474.578217
40 2560.000000 1300.222137 1899.156433
41 1520.000000 2200.888550 1899.156433
42 1195.000000 1112.583305 2642.168335
43 2040.000000 2501.110596 2748.312866
44 2560.000000 1600.444275 1474.578217
45 2560.000000 1600.444275 2748.312866
46 2040.000000 2501.110596 1474.578217
47 2820.000000 1450.333221 2323.734619
48 2300.000000 2951.443848 2748.312866
49 1780.000000 1150.111069 1474.578217
50 1325.000000 1262.694366 1793.011902
51 740.000000 2801.332886 1686.867310
52 1780.000000 2951.443848 2748.312866
53 1260.000000 2651.221680 3172.891113
54 1260.000000 2951.443848 2748.312866
55 1260.000000 2050.777466 1474.578217
56 2300.000000 1150.111069 1474.578217
57 1260.000000 3251.666016 1686.867310
58 1780.000000 2050.777466 1474.578217
59 2040.000000 1300.222137 3172.891113
60 1260.000000 1750.555298 1899.156433
61 1520.000000 1300.222137 1899.156433
62 2820.000000 1150.111069 2748.312866
63 1130.000000 3476.832764 1686.867310
64 1000.000000 2200.888550 3172.891113
65 2300.000000 2651.221680 1899.156433
66 3210.000000 1525.388733 1262.289108
67 2040.000000 3401.777100 2748.312866
68 1260.000000 2350.999634 2323.734619
69 2300.000000 2050.777466 2748.312866
70 2950.000000 2576.166260 2960.602051
71 3210.000000 1675.499817 1686.867310
72 1780.000000 2651.221680 3172.891113
73 2950.000000 1075.055534 2536.023804
74 1910.000000 2876.388184 3172.891113
75 2690.000000 1375.277649 2748.312866
76 740.000000 3101.554932 3172.891113
77 2560.000000 3101.554932 1899.156433
78 3080.000000 3101.554932 1899.156433
79 1130.000000 2876.388184 1899.156433
80 3080.000000 1300.222137 1262.289108
81 1260.000000 2651.221680 1899.156433
82 3340.000000 3026.499390 2642.168335
83 1780.000000 2651.221680 1899.156433
84 3080.000000 1600.444275 2748.312866
85 1130.000000 3476.832764 2323.734619
86 870.000000 3626.943604 1474.578217
87 1780.000000 2951.443848 1474.578217
88 3210.000000 2125.833008 1686.867310
89 3080.000000 2951.443848 2748.312866
